Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,20831.900391,20922.580078,20823.679688,20883.769531,20883.769531,66600000
2019-02-05,20960.470703,20981.230469,20823.179688,20844.449219,20844.449219,65500000
2019-02-06,20928.869141,20971.660156,20860.990234,20874.060547,20874.060547,68900000
2019-02-07,20812.220703,20844.769531,20665.509766,20751.279297,20751.279297,70600000
2019-02-08,20510.500000,20562.390625,20315.310547,20333.169922,20333.169922,86200000
2019-02-12,20442.550781,20885.880859,20428.570313,20864.210938,20864.210938,84100000
2019-02-13,21029.929688,21213.740234,20992.880859,21144.480469,21144.480469,78600000
2019-02-14,21147.890625,21235.619141,21102.160156,21139.710938,21139.710938,64500000
2019-02-15,21051.509766,21051.509766,20853.330078,20900.630859,20900.630859,65600000
2019-02-18,21217.320313,21306.359375,21189.970703,21281.849609,21281.849609,61800000
2019-02-19,21256.580078,21344.169922,21217.160156,21302.650391,21302.650391,53600000
2019-02-20,21346.039063,21494.849609,21315.390625,21431.490234,21431.490234,59700000
2019-02-21,21422.310547,21553.349609,21318.740234,21464.230469,21464.230469,68400000
2019-02-22,21376.359375,21451.230469,21348.669922,21425.509766,21425.509766,52400000
2019-02-25,21567.660156,21590.029297,21505.070313,21528.230469,21528.230469,51800000
2019-02-26,21556.019531,21610.880859,21405.839844,21449.390625,21449.390625,56400000
2019-02-27,21504.609375,21578.810547,21492.650391,21556.509766,21556.509766,67700000
2019-02-28,21536.550781,21536.550781,21364.089844,21385.160156,21385.160156,71500000
2019-03-01,21490.019531,21641.580078,21490.019531,21602.689453,21602.689453,62600000
2019-03-04,21812.810547,21860.390625,21740.919922,21822.039063,21822.039063,59100000
2019-03-05,21712.800781,21798.380859,21659.039063,21726.279297,21726.279297,59200000
2019-03-06,21659.029297,21684.599609,21550.449219,21596.810547,21596.810547,57100000
2019-03-07,21456.880859,21472.160156,21402.119141,21456.009766,21456.009766,75200000
2019-03-08,21339.169922,21359.320313,20993.070313,21025.560547,21025.560547,99800000
2019-03-11,21062.750000,21145.939453,20938.000000,21125.089844,21125.089844,55600000
2019-03-12,21361.609375,21568.480469,21348.810547,21503.689453,21503.689453,67800000
2019-03-13,21425.769531,21474.169922,21198.990234,21290.240234,21290.240234,66200000
2019-03-14,21474.580078,21522.750000,21287.019531,21287.019531,21287.019531,64100000
2019-03-15,21376.730469,21521.679688,21374.849609,21450.849609,21450.849609,83200000
2019-03-18,21576.359375,21612.669922,21500.320313,21584.500000,21584.500000,55200000
2019-03-19,21558.429688,21585.550781,21425.789063,21566.849609,21566.849609,59900000
2019-03-20,21548.650391,21614.169922,21499.160156,21608.919922,21608.919922,65300000
2019-03-22,21713.259766,21713.259766,21542.029297,21627.339844,21627.339844,78900000
2019-03-25,21267.410156,21275.429688,20911.570313,20977.109375,20977.109375,77700000
2019-03-26,21174.339844,21460.990234,21174.339844,21428.390625,21428.390625,101300000
2019-03-27,21353.609375,21388.589844,21242.519531,21378.730469,21378.730469,76000000
2019-03-28,21191.320313,21191.320313,20974.189453,21033.759766,21033.759766,71100000
2019-03-29,21228.509766,21267.250000,21149.419922,21205.810547,21205.810547,61600000
2019-04-01,21500.890625,21682.939453,21471.119141,21509.029297,21509.029297,77400000
2019-04-02,21744.640625,21744.640625,21490.560547,21505.310547,21505.310547,71000000
2019-04-03,21563.640625,21722.720703,21489.949219,21713.210938,21713.210938,68500000
2019-04-04,21724.689453,21787.599609,21662.900391,21724.949219,21724.949219,57900000
2019-04-05,21743.140625,21839.179688,21731.339844,21807.500000,21807.500000,58500000
2019-04-08,21900.550781,21900.550781,21740.529297,21761.650391,21761.650391,54600000
2019-04-09,21750.289063,21811.880859,21698.419922,21802.589844,21802.589844,54300000
2019-04-10,21579.679688,21687.570313,21571.669922,21687.570313,21687.570313,58700000
2019-04-11,21662.650391,21721.419922,21627.869141,21711.380859,21711.380859,61200000
2019-04-12,21782.349609,21878.779297,21698.710938,21870.560547,21870.560547,61600000
2019-04-15,22122.970703,22211.029297,22102.929688,22169.109375,22169.109375,66100000
